original_path,sha256,size_bytes,size_mb
Melhoria_Biliary_Leak_Specialist/efficientnet_b7_biliary_specialist_partial_finetune_best.pth,b280f06b91723fe7d5ec65b03916a68a928aaa1293c82f771affe9d826fb9d2a,256899197,245.0
Modelo_Final_Ensemble/final_direct_6_model_ensemble_config.pth,543b499434b2530f37357ce4dae45259b75f0385d84762c96929ee4c63ca624d,3099,0.0
models/convnext_tiny_VAE_seed0.pth,9a73532110713ccb841af4fd1105f8f3d6364c16c3c6d3f1fda943002354f48f,111362643,106.2
models/densenet.pth,03fd003967802e3745b4cc69326d07f40737f93be06248455fb8f40fdb43c23f,28448686,27.13
models/densenet_imagens_geradas_todas_410.pth,a8a64cd42045189b9eeee48f1204d091030df6b4fecae1d97aa01bc5e0714628,28467872,27.15
models/efficientnet_b0_VAE_resized.pth,ff16813a1ec8da3ff97dc1979e893b22e5d53157d3b5a14ffc0c3b14db6b9af3,16356679,15.6
models/efficientnet_b7.pth,2c48f792b14d281607ff4d0f34d7cc642071e17142b4da6d9eb9a2941e4a4467,256877911,244.98
models/mobilenet_v2.pth,0d318a6dc6819e8522e682f2cdd068d8f303b9cac3c2d17d73051354bac42531,9162251,8.74
models/resnet50_img_geradas_410.pth,7558cd2825a23591caf4e69c70ebe6ec0ea5789f9cf0811153e93dba478b93c5,94388517,90.02
vae_biliary_leaks.pth,251a2ffb278ca811b5573564d35320d8c14e58135dd1b33bf55f2d05f0fcf005,55956974,53.36
vae_perceptual_Stricture.pth,93a0c27baf6b197db9cb98cf68f6f0ebc715d129c808e9d95feeaf7f0d3acdb0,55957479,53.37
vae_perceptual_biliary.pth,911ca7a18a6c4e60ec118f11d6d7da9719b4f734e40b65aa4ae15131ef7d0b61,55957353,53.37
vae_perceptual_normal.pth,f313102ba31f9da380f62d318230d975d2f18435863f97b162856d40a7ba3d6d,55957226,53.36
